Date,Soil Moisture 10cm (%) ,Soil Moisture 20cm (%) ,Soil Moisture 30cm (%),Soil Moisture 40cm (%),Soil Moisture 50cm (%),Soil Moisture 60cm (%) ,Rain,Temperature (oC),Humidity (%)
2024-09-20 03:00:00,7.34,3.49,2.22,2.15,1.46,1.25,0,20.52,72.17
2024-09-20 02:00:00,7.33,3.49,2.22,2.14,1.46,1.25,0,19.9,76
2024-09-20 01:00:00,7.33,3.49,2.22,2.14,1.46,1.25,0,19.7,78.83
2024-09-20 00:00:00,7.33,3.48,2.22,2.14,1.46,1.25,0,19.62,81.5
2024-09-19 23:00:00,7.32,3.49,2.22,2.15,1.46,1.25,0,20,82
2024-09-19 22:00:00,7.32,3.49,2.22,2.14,1.46,1.25,0,21.1,80
2024-09-19 21:00:00,7.31,3.49,2.22,2.14,1.46,1.25,0,21.9,73
2024-09-19 20:00:00,7.3,3.49,2.22,2.14,1.46,1.25,0,23.38,66.33
2024-09-19 19:00:00,7.3,3.49,2.22,2.14,1.46,1.25,0,25.18,59.17
